config_name,strategy,f1_macro,f1_discouraging,f1_conditional,f1_encouraging,accuracy,rank
roberta-best,full+balanced+strong_weights,0.6821,0.9091,0.4706,0.6667,0.831,1
Zero-Shot BERT (baseline),zero-shot,0.646,0.6667,0.545,0.727,0.6471,2
roberta-base,full,0.6086,0.9167,0.3636,0.5455,0.8451,3
SVM-tuned (classical),classical,0.4667,0.4,0.3333,0.6667,0.4706,4
,,0.4667,0.4,0.3333,0.6667,0.4706,5
scibert-lora,lora,0.4444,0.8475,0.2,0.2857,0.7465,6
NB vanilla,classical-vanilla,0.439,0.364,0.2857,0.667,0.4118,7
bert-base,full,0.4376,0.9091,0.1538,0.25,0.8028,8
LR vanilla,classical-vanilla,0.429,0.4,0.2857,0.6,0.4118,9
SVM vanilla,classical-vanilla,0.418,0.4,0.3077,0.5455,0.4706,10
Random Forest vanilla,classical-vanilla,0.393,0.25,0.222,0.706,0.4706,11
scibert-full,full,0.3021,0.9062,0.0,0.0,0.8169,12
Majority Class Baseline,baseline,0.24,0.71,0.0,0.0,0.82,13
