discipline,conditional,discouraging,encouraging
Agriculture,25.0,31.25,43.75
Anthropology,40.0,0.0,60.0
Arts,9.090909090909092,45.45454545454545,45.45454545454545
Biology,25.0,28.125,46.875
Business,23.52941176470588,20.0,56.470588235294116
Communication,22.22222222222222,55.55555555555556,22.22222222222222
Communications,8.620689655172415,32.758620689655174,58.620689655172406
Composition,12.195121951219512,26.82926829268293,60.97560975609756
Computer Information Systems,21.73913043478261,4.3478260869565215,73.91304347826086
Computer Science,8.0,30.0,62.0
Computer Sciences,10.0,40.0,50.0
Criminal Justice,11.76470588235294,17.647058823529413,70.58823529411765
Cultural Studies,28.57142857142857,28.57142857142857,42.857142857142854
Cybersecurity,42.857142857142854,28.57142857142857,28.57142857142857
Design,0.0,33.33333333333333,66.66666666666666
Economics,29.411764705882355,5.88235294117647,64.70588235294117
Education,12.903225806451612,19.35483870967742,67.74193548387096
Electrical Engineering,4.545454545454546,4.545454545454546,90.9090909090909
Engineering,14.035087719298245,22.807017543859647,63.1578947368421
English,0.0,28.57142857142857,71.42857142857143
Entrepreneurship,0.0,19.35483870967742,80.64516129032258
Enviromental Science,32.0,16.0,52.0
Film Studies,0.0,50.0,50.0
Finance,12.82051282051282,30.76923076923077,56.41025641025641
First Year Seminar,20.51282051282051,25.64102564102564,53.84615384615385
Gender Studies,0.0,66.66666666666666,33.33333333333333
Geography,15.789473684210526,36.84210526315789,47.368421052631575
Government,18.181818181818183,27.27272727272727,54.54545454545454
Health,7.6923076923076925,46.15384615384615,46.15384615384615
Healthcare,33.33333333333333,16.666666666666664,50.0
High School,0.0,0.0,100.0
History,13.043478260869565,25.0,61.95652173913043
Honors Course,0.0,0.0,100.0
Human Services,0.0,50.0,50.0
Information Science,0.0,0.0,100.0
Information Studies,0.0,100.0,0.0
Information Technology,0.0,33.33333333333333,66.66666666666666
Instructional Design,28.57142857142857,21.428571428571427,50.0
Interdisciplinary,19.444444444444446,27.77777777777778,52.77777777777778
Intro to Human Communication,9.67741935483871,16.129032258064516,74.19354838709677
Journalism - Multimedia,28.125,21.875,50.0
Languages,0.0,80.0,20.0
Law,13.636363636363635,31.818181818181817,54.54545454545454
Library and Information Science,50.0,50.0,0.0
Life Sciences,15.0,25.0,60.0
Literature,13.23529411764706,25.0,61.76470588235294
Management,34.48275862068966,27.586206896551722,37.93103448275862
Marketing,17.543859649122805,28.07017543859649,54.385964912280706
Math,0.0,0.0,100.0
Mathematics,0.0,50.0,50.0
Media Studies,66.66666666666666,0.0,33.33333333333333
Misc,24.528301886792452,26.41509433962264,49.056603773584904
Music,11.11111111111111,22.22222222222222,66.66666666666666
Nursing,12.5,25.0,62.5
Occupational Therapy,66.66666666666666,0.0,33.33333333333333
Philosophy,38.46153846153847,46.15384615384615,15.384615384615385
Physical Sciences,9.090909090909092,36.36363636363637,54.54545454545454
Politics,7.142857142857142,21.428571428571427,71.42857142857143
Psychology,8.47457627118644,42.3728813559322,49.152542372881356
Public Policy,50.0,0.0,50.0
Religious Studies,14.285714285714285,42.857142857142854,42.857142857142854
Research,21.568627450980394,11.76470588235294,66.66666666666666
Research Methods,13.513513513513514,25.675675675675674,60.810810810810814
Social Sciences,0.0,0.0,100.0
Social Sciences/Humanities,20.0,40.0,40.0
Social Services,0.0,0.0,100.0
Social Work (Masters level),25.64102564102564,15.384615384615385,58.97435897435898
Sociology,13.636363636363635,27.27272727272727,59.09090909090909
Spanish,0.0,66.66666666666666,33.33333333333333
Technology,0.0,100.0,0.0
Theatre,50.0,50.0,0.0
Writing,11.1716621253406,34.05994550408719,54.76839237057221
Writing Center,12.0,16.0,72.0
"Writing, Business",0.0,100.0,0.0
"Writing, Literature",8.333333333333332,25.0,66.66666666666666
